journey_id,cust_id,issue_type,tier,start_timestamp,end_timestamp,event_count,channel_count,channel_switches,max_friction,mean_friction,resolved,terminal_status,escalated,repeat_contact_14d,breakpoint_event_id,transaction_amount_usd,severity,resolution_difficulty,customer_churned_30d
JRN_00000022,CUST_PREMIUM_001003,travel_booking,Gold,1778879579.168233,1778879579.168233,1,1,0,0.2829,0.2829,True,resolved,False,False,evt_app_000000034,1703.4,0.2567,0.3183,False
JRN_00000023,CUST_PREMIUM_001003,routine_account_review,Gold,1778901926.168233,1778901926.168233,1,1,0,0.0815,0.0815,True,resolved,False,False,evt_web_000000035,,0.02,0.0213,False
JRN_00000024,CUST_PREMIUM_001004,routine_account_review,Green,1777052988.168233,1777054540.168233,2,2,1,0.4126,0.2808,True,resolved,False,False,evt_web_000000037,,0.02,0.0284,False
JRN_00000025,CUST_PREMIUM_001004,card_declined,Green,1778657659.168233,1778657659.168233,1,1,0,0.4995,0.4995,True,resolved,False,False,evt_call_center_000000038,31.62,0.6905,0.345,False
JRN_00000026,CUST_PREMIUM_001004,travel_booking,Green,1783407450.168233,1783407450.168233,1,1,0,0.2264,0.2264,True,resolved,False,False,evt_call_center_000000039,489.02,0.494,0.3269,False
JRN_00000027,CUST_PREMIUM_001004,travel_booking,Green,1781490490.168233,1781490490.168233,1,1,0,0.5911,0.5911,True,resolved,False,False,evt_call_center_000000040,6181.15,0.3948,0.3013,False
JRN_00000028,CUST_PREMIUM_001004,dispute_status,Green,1776130052.168233,1776130052.168233,1,1,0,0.4126,0.4126,True,resolved,False,False,evt_call_center_000000041,732.4,0.5242,0.6127,False
JRN_00000029,CUST_PREMIUM_001004,lounge_access,Green,1776296608.168233,1776296608.168233,1,1,0,0.1169,0.1169,True,resolved,False,False,evt_call_center_000000042,,0.2388,0.1883,False
JRN_00000030,CUST_PREMIUM_001004,payment_failure,Green,1784137131.168233,1784139231.168233,2,2,1,0.5737,0.5238,True,resolved,False,False,evt_app_000000043,57.59,0.8078,0.4317,False
JRN_00000031,CUST_PREMIUM_001004,login_problem,Green,1782780142.168233,1782802194.168233,2,2,1,0.4584,0.375,False,pending,True,True,evt_in_person_000000046,,0.4359,0.3267,False
JRN_00000032,CUST_PREMIUM_001004,credit_limit_request,Green,1779678375.168233,1779679325.168233,2,2,1,0.4752,0.4042,True,resolved,False,False,evt_web_000000047,1804.18,0.5817,0.4447,False
JRN_00000033,CUST_PREMIUM_001004,routine_account_review,Green,1774906635.168233,1774906635.168233,1,1,0,0.0465,0.0465,True,resolved,True,False,evt_web_000000049,,0.0576,0.1041,False
JRN_00000034,CUST_PREMIUM_001004,wire_transfer_problem,Green,1780229611.168233,1780230177.168233,2,2,1,0.8875,0.7853,True,resolved,True,False,evt_app_000000050,7204.07,0.8484,0.7083,False
JRN_00000035,CUST_PREMIUM_001005,card_declined,Gold,1783663487.168233,1783663487.168233,1,1,0,0.7742,0.7742,False,abandoned,False,True,evt_web_000000052,72.41,0.7112,0.4172,False
JRN_00000036,CUST_PREMIUM_001005,travel_booking,Gold,1776499970.168233,1776502147.168233,2,2,1,0.4351,0.3582,True,resolved,False,False,evt_call_center_000000054,4350.83,0.4823,0.3187,False
JRN_00000037,CUST_PREMIUM_001005,suspected_fraud,Gold,1782417652.168233,1782420141.168233,2,2,1,0.7919,0.7659,True,resolved,True,False,evt_call_center_000000056,211.7,0.9443,0.4864,False
JRN_00000038,CUST_PREMIUM_001005,travel_booking,Gold,1784113565.168233,1784113955.168233,2,2,1,0.6739,0.4558,False,abandoned,True,True,evt_call_center_000000058,819.09,0.3993,0.344,False
JRN_00000039,CUST_PREMIUM_001006,credit_limit_request,Green,1780726186.168233,1780727530.168233,4,2,1,0.4701,0.3246,True,resolved,False,False,evt_call_center_000000062,2216.55,0.3412,0.4359,False
JRN_00000040,CUST_PREMIUM_001006,travel_booking,Green,1781871946.168233,1781871946.168233,1,1,0,0.1934,0.1934,True,resolved,False,False,evt_web_000000063,1857.56,0.4094,0.3305,False
JRN_00000041,CUST_PREMIUM_001007,card_declined,Platinum,1782641419.168233,1782644375.168233,4,2,1,0.784,0.6243,True,resolved,True,True,evt_app_000000066,219.01,0.6116,0.397,False
JRN_00000042,CUST_PREMIUM_001007,dispute_status,Platinum,1777692658.168233,1777709431.168233,2,2,1,0.542,0.458,True,resolved,False,True,evt_in_person_000000069,488.1,0.5631,0.5983,False
JRN_00000043,CUST_PREMIUM_001007,login_problem,Platinum,1779341050.168233,1779341050.168233,1,1,0,0.5137,0.5137,True,resolved,True,False,evt_call_center_000000070,,0.515,0.2799,False
JRN_00000044,CUST_PREMIUM_001007,card_declined,Platinum,1778952073.168233,1778952073.168233,1,1,0,0.2851,0.2851,True,resolved,True,False,evt_web_000000071,131.17,0.7188,0.3846,False
JRN_00000045,CUST_PREMIUM_001007,lounge_access,Platinum,1778829235.168233,1778829235.168233,1,1,0,0.1179,0.1179,True,resolved,False,False,evt_in_person_000000072,,0.2579,0.197,False
JRN_00000046,CUST_PREMIUM_001007,travel_booking,Platinum,1776622452.168233,1776622452.168233,1,1,0,0.3025,0.3025,True,resolved,True,True,evt_app_000000073,3871.75,0.4439,0.4107,False
JRN_00000047,CUST_PREMIUM_001007,wire_transfer_problem,Platinum,1776982809.168233,1776983161.168233,2,1,0,0.6313,0.5656,True,resolved,True,False,evt_in_person_000000074,20272.02,0.7853,0.6554,False
JRN_00000048,CUST_PREMIUM_001007,routine_account_review,Platinum,1784424273.168233,1784424273.168233,1,1,0,0.1381,0.1381,True,resolved,False,False,evt_call_center_000000076,,0.0832,0.0843,False
JRN_00000049,CUST_PREMIUM_001007,routine_account_review,Platinum,1780356516.168233,1780356516.168233,1,1,0,0.1735,0.1735,True,resolved,False,False,evt_call_center_000000077,,0.2021,0.0282,False
JRN_00000050,CUST_PREMIUM_001007,travel_booking,Platinum,1777967132.168233,1777967132.168233,1,1,0,0.2442,0.2442,True,resolved,False,False,evt_web_000000078,3115.46,0.497,0.2988,False
JRN_00000051,CUST_PREMIUM_001007,travel_booking,Platinum,1776940187.168233,1776942025.168233,2,2,1,0.3716,0.2243,False,abandoned,False,True,evt_call_center_000000080,11267.34,0.3561,0.3208,False
JRN_00000052,CUST_PREMIUM_001007,dispute_status,Platinum,1781476039.168233,1781476307.168233,2,1,0,0.6544,0.5714,False,abandoned,False,True,evt_call_center_000000082,45.36,0.5651,0.6194,False
JRN_00000053,CUST_PREMIUM_001008,card_declined,Green,1783558716.168233,1783558716.168233,1,1,0,0.4198,0.4198,False,abandoned,True,False,evt_web_000000083,192.38,0.6181,0.3321,False
JRN_00000054,CUST_PREMIUM_001008,payment_failure,Green,1781643659.168233,1781646067.168233,3,3,2,0.8823,0.7017,True,resolved,True,True,evt_call_center_000000086,64.39,0.6741,0.4599,False
JRN_00000055,CUST_PREMIUM_001008,dispute_status,Green,1783241073.168233,1783241108.168233,2,1,0,0.4092,0.3746,True,resolved,False,True,evt_web_000000087,70.62,0.4995,0.6128,False
JRN_00000056,CUST_PREMIUM_001008,credit_limit_request,Green,1775193580.168233,1775193580.168233,1,1,0,0.1193,0.1193,False,pending,False,False,evt_in_person_000000089,3475.25,0.3248,0.488,False
JRN_00000057,CUST_PREMIUM_001008,lounge_access,Green,1779874471.168233,1779874471.168233,1,1,0,0.0617,0.0617,True,resolved,False,False,evt_in_person_000000090,,0.3027,0.19,False
JRN_00000058,CUST_PREMIUM_001008,travel_booking,Green,1775561967.168233,1775561967.168233,1,1,0,0.1217,0.1217,True,resolved,False,False,evt_call_center_000000091,2248.79,0.3686,0.3428,False
JRN_00000059,CUST_PREMIUM_001008,dispute_status,Green,1779498095.168233,1779498095.168233,1,1,0,0.5512,0.5512,True,resolved,False,False,evt_web_000000092,89.35,0.6197,0.5696,False
JRN_00000060,CUST_PREMIUM_001008,routine_account_review,Green,1780382513.168233,1780382617.168233,2,1,0,0.2001,0.1086,True,resolved,False,False,evt_app_000000094,,0.02,0.0451,False
JRN_00000061,CUST_PREMIUM_001009,lounge_access,Green,1784118053.168233,1784118053.168233,1,1,0,0.2883,0.2883,True,resolved,False,False,evt_web_000000095,,0.2591,0.1638,False
JRN_00000062,CUST_PREMIUM_001009,suspected_fraud,Green,1777124066.168233,1777124066.168233,1,1,0,0.6283,0.6283,True,resolved,False,True,evt_app_000000096,1163.62,0.8819,0.535,False
JRN_00000063,CUST_PREMIUM_001009,benefit_claim,Green,1784557255.168233,1784557255.168233,1,1,0,0.3686,0.3686,True,resolved,False,False,evt_app_000000097,98.35,0.2951,0.4404,False
JRN_00000064,CUST_PREMIUM_001009,suspected_fraud,Green,1780149409.168233,1780149587.168233,2,1,0,0.8522,0.6984,True,resolved,True,False,evt_app_000000098,142.64,0.99,0.6283,False
JRN_00000065,CUST_PREMIUM_001010,replacement_card,Gold,1784438734.168233,1784438734.168233,1,1,0,0.4913,0.4913,True,resolved,False,False,evt_web_000000100,,0.4606,0.2405,False
JRN_00000066,CUST_PREMIUM_001010,payment_failure,Gold,1776517564.168233,1776518194.168233,3,2,1,0.8803,0.6467,True,resolved,False,True,evt_call_center_000000103,62.08,0.6162,0.438,False
JRN_00000067,CUST_PREMIUM_001010,dispute_status,Gold,1782797235.168233,1782797235.168233,1,1,0,0.4173,0.4173,True,resolved,False,False,evt_web_000000104,231.78,0.5266,0.5903,False
JRN_00000068,CUST_PREMIUM_001010,travel_booking,Gold,1778630418.168233,1778630803.168233,2,2,1,0.6474,0.5717,False,pending,True,True,evt_app_000000106,649.37,0.4172,0.361,False
JRN_00000069,CUST_PREMIUM_001010,travel_booking,Gold,1784439725.168233,1784439725.168233,1,1,0,0.2045,0.2045,False,pending,False,True,evt_app_000000107,664.08,0.272,0.2888,False
JRN_00000070,CUST_PREMIUM_001010,payment_failure,Gold,1783747027.168233,1783747027.168233,1,1,0,0.355,0.355,True,resolved,True,False,evt_call_center_000000108,438.71,0.6268,0.4146,False
JRN_00000071,CUST_PREMIUM_001011,login_problem,Platinum,1783578195.168233,1783578885.168233,3,2,1,0.6676,0.6186,False,abandoned,True,True,evt_web_000000109,,0.6308,0.3712,False
JRN_00000072,CUST_PREMIUM_001011,dispute_status,Platinum,1780942761.168233,1780986547.168233,5,2,2,0.961,0.7912,True,resolved,True,False,evt_call_center_000000116,27.91,0.5296,0.5906,False
JRN_00000073,CUST_PREMIUM_001011,login_problem,Platinum,1782843140.168233,1782844162.168233,2,2,1,0.5543,0.4513,True,resolved,True,True,evt_call_center_000000118,,0.474,0.2829,False
JRN_00000074,CUST_PREMIUM_001011,payment_failure,Platinum,1781862587.168233,1781877577.168233,4,3,3,1.0,0.8831,True,resolved,True,True,evt_call_center_000000119,276.96,0.8361,0.4073,False
JRN_00000075,CUST_PREMIUM_001011,benefit_claim,Platinum,1775942476.168233,1775944271.168233,2,2,1,0.5511,0.3609,True,resolved,False,False,evt_call_center_000000124,59.65,0.371,0.3806,False
JRN_00000076,CUST_PREMIUM_001011,routine_account_review,Platinum,1781524162.168233,1781524162.168233,1,1,0,0.0259,0.0259,True,resolved,False,False,evt_web_000000125,,0.0491,0.0326,False
JRN_00000077,CUST_PREMIUM_001012,lounge_access,Gold,1779139129.168233,1779152431.168233,4,3,2,0.682,0.4843,True,resolved,True,False,evt_call_center_000000129,,0.3641,0.2587,False
JRN_00000078,CUST_PREMIUM_001012,routine_account_review,Gold,1781295458.168233,1781295458.168233,1,1,0,0.0235,0.0235,False,pending,False,True,evt_web_000000130,,0.1362,0.0369,False
JRN_00000079,CUST_PREMIUM_001012,routine_account_review,Gold,1783370655.168233,1783370655.168233,1,1,0,0.0618,0.0618,True,resolved,False,False,evt_web_000000131,,0.0546,0.0155,False
JRN_00000080,CUST_PREMIUM_001012,benefit_claim,Gold,1780386790.168233,1780388249.168233,2,2,1,0.3107,0.2117,True,resolved,False,False,evt_app_000000132,48.66,0.1921,0.3888,False
JRN_00000081,CUST_PREMIUM_001012,travel_booking,Gold,1781843418.168233,1781843517.168233,2,1,0,0.4882,0.3863,True,resolved,False,False,evt_call_center_000000135,922.47,0.5485,0.3213,False
JRN_00000082,CUST_PREMIUM_001013,travel_booking,Platinum,1779825253.168233,1779825253.168233,1,1,0,0.3695,0.3695,True,resolved,True,False,evt_web_000000136,425.4,0.4467,0.3215,False
JRN_00000083,CUST_PREMIUM_001013,routine_account_review,Platinum,1776392023.168233,1776392023.168233,1,1,0,0.0001,0.0001,True,resolved,False,True,evt_app_000000137,,0.02,0.044,False
JRN_00000084,CUST_PREMIUM_001013,credit_limit_request,Platinum,1779314645.168233,1779314645.168233,1,1,0,0.2213,0.2213,True,resolved,False,False,evt_call_center_000000138,1941.55,0.0807,0.4383,False
JRN_00000085,CUST_PREMIUM_001013,login_problem,Platinum,1779360548.168233,1779360548.168233,1,1,0,0.5655,0.5655,True,resolved,False,False,evt_web_000000139,,0.498,0.3033,False
JRN_00000086,CUST_PREMIUM_001013,replacement_card,Platinum,1776499814.168233,1776500034.168233,2,1,0,0.6353,0.5475,True,resolved,False,False,evt_app_000000141,,0.5375,0.3384,False
JRN_00000087,CUST_PREMIUM_001013,payment_failure,Platinum,1776820508.168233,1776820690.168233,2,1,0,0.6829,0.5044,True,resolved,True,True,evt_app_000000143,272.22,0.663,0.4758,False
JRN_00000088,CUST_PREMIUM_001013,wire_transfer_problem,Platinum,1783677894.168233,1783678200.168233,2,1,0,1.0,0.9699,True,resolved,True,False,evt_call_center_000000145,35028.83,0.9687,0.6665,False
JRN_00000089,CUST_PREMIUM_001013,login_problem,Platinum,1782423656.168233,1782424035.168233,2,1,0,0.4918,0.4379,True,resolved,False,False,evt_call_center_000000147,,0.4119,0.3372,False
JRN_00000090,CUST_PREMIUM_001013,login_problem,Platinum,1777668556.168233,1777668769.168233,2,1,0,0.5475,0.4096,True,resolved,True,True,evt_web_000000149,,0.4903,0.2592,False
JRN_00000091,CUST_PREMIUM_001013,routine_account_review,Platinum,1784067464.168233,1784067464.168233,1,1,0,0.0146,0.0146,True,resolved,True,False,evt_app_000000150,,0.0331,0.1751,False
JRN_00000092,CUST_PREMIUM_001013,lounge_access,Platinum,1777092303.168233,1777092303.168233,1,1,0,0.1757,0.1757,True,resolved,True,False,evt_in_person_000000151,,0.2673,0.2161,False
JRN_00000093,CUST_PREMIUM_001013,payment_failure,Platinum,1783110732.168233,1783110740.168233,2,1,0,0.5255,0.3288,False,pending,True,False,evt_app_000000153,189.24,0.6817,0.404,False
JRN_00000094,CUST_PREMIUM_001013,payment_failure,Platinum,1776496180.168233,1776496180.168233,1,1,0,0.5834,0.5834,True,resolved,True,False,evt_app_000000154,35.43,0.7901,0.4548,False
JRN_00000095,CUST_PREMIUM_001013,login_problem,Platinum,1779177511.168233,1779180386.168233,2,2,1,0.3667,0.2908,True,resolved,False,False,evt_in_person_000000156,,0.493,0.3321,False
JRN_00000096,CUST_PREMIUM_001014,routine_account_review,Platinum,1776718463.168233,1776718463.168233,1,1,0,0.0177,0.0177,True,resolved,False,False,evt_app_000000157,,0.02,0.01,False
JRN_00000097,CUST_PREMIUM_001014,routine_account_review,Platinum,1777165673.168233,1777165673.168233,1,1,0,0.0143,0.0143,True,resolved,False,False,evt_app_000000158,,0.1375,0.1011,False
JRN_00000098,CUST_PREMIUM_001014,routine_account_review,Platinum,1783566596.168233,1783566879.168233,2,1,0,0.0403,0.0206,True,resolved,True,True,evt_app_000000160,,0.0467,0.1184,False
JRN_00000099,CUST_PREMIUM_001014,payment_failure,Platinum,1780463247.168233,1780463558.168233,2,2,1,0.7739,0.754,True,resolved,True,True,evt_app_000000161,266.85,0.7777,0.4476,False
JRN_00000100,CUST_PREMIUM_001014,lounge_access,Platinum,1779955134.168233,1779955134.168233,1,1,0,0.1565,0.1565,False,pending,False,False,evt_web_000000163,,0.1344,0.149,False
JRN_00000101,CUST_PREMIUM_001014,dispute_status,Platinum,1780440396.168233,1780442499.168233,3,2,1,0.804,0.6405,True,resolved,True,False,evt_app_000000165,65.35,0.5876,0.6072,False
JRN_00000102,CUST_PREMIUM_001014,routine_account_review,Platinum,1776589096.168233,1776589096.168233,1,1,0,0.027,0.027,True,resolved,False,False,evt_web_000000167,,0.027,0.0896,False
JRN_00000103,CUST_PREMIUM_001014,card_declined,Platinum,1780748212.168233,1780751120.168233,3,2,1,0.885,0.6637,True,resolved,True,False,evt_call_center_000000169,353.8,0.6864,0.3106,False
JRN_00000104,CUST_PREMIUM_001015,login_problem,Gold,1783688422.168233,1783690499.168233,2,2,1,0.6378,0.4787,True,resolved,True,True,evt_call_center_000000172,,0.4154,0.2642,False
JRN_00000105,CUST_PREMIUM_001015,travel_booking,Gold,1783075204.168233,1783075204.168233,1,1,0,0.3292,0.3292,True,resolved,False,False,evt_call_center_000000173,2154.01,0.4955,0.2804,False
JRN_00000106,CUST_PREMIUM_001015,replacement_card,Gold,1780704467.168233,1780704467.168233,1,1,0,0.4184,0.4184,True,resolved,False,False,evt_call_center_000000174,,0.4504,0.267,False
JRN_00000107,CUST_PREMIUM_001015,dispute_status,Gold,1780054292.168233,1780054292.168233,1,1,0,0.511,0.511,True,resolved,False,False,evt_app_000000175,1588.14,0.6454,0.5528,False
JRN_00000108,CUST_PREMIUM_001016,payment_failure,Green,1778284610.168233,1778284610.168233,1,1,0,0.7361,0.7361,False,pending,True,True,evt_app_000000176,14.94,0.7447,0.4763,True
JRN_00000109,CUST_PREMIUM_001016,payment_failure,Green,1777801494.168233,1777802548.168233,3,2,2,0.9907,0.7682,False,abandoned,True,True,evt_app_000000179,61.48,0.743,0.4021,True
JRN_00000110,CUST_PREMIUM_001016,login_problem,Green,1783900734.168233,1783905954.168233,2,2,1,0.7296,0.4707,True,resolved,True,False,evt_call_center_000000181,,0.506,0.2641,True
JRN_00000111,CUST_PREMIUM_001016,credit_limit_request,Green,1781051562.168233,1781052254.168233,3,1,0,0.6057,0.4314,True,resolved,True,True,evt_in_person_000000183,5473.09,0.4461,0.5098,True
JRN_00000112,CUST_PREMIUM_001016,card_declined,Green,1776997045.168233,1777000250.168233,3,2,1,0.898,0.7167,False,abandoned,True,False,evt_app_000000186,90.11,0.7188,0.3523,True
JRN_00000113,CUST_PREMIUM_001016,suspected_fraud,Green,1784252111.168233,1784260429.168233,2,2,1,0.7593,0.6837,True,resolved,False,False,evt_in_person_000000189,56.5,0.817,0.5463,True
JRN_00000114,CUST_PREMIUM_001016,card_declined,Green,1784766723.168233,1784766803.168233,2,1,0,0.7732,0.7592,True,resolved,True,True,evt_call_center_000000191,65.34,0.6757,0.3296,True
JRN_00000115,CUST_PREMIUM_001016,routine_account_review,Green,1776733027.168233,1776733027.168233,1,1,0,0.0131,0.0131,True,resolved,False,False,evt_in_person_000000192,,0.02,0.1067,True
JRN_00000116,CUST_PREMIUM_001016,benefit_claim,Green,1781563751.168233,1781564817.168233,2,2,1,0.5941,0.4526,True,resolved,True,False,evt_call_center_000000194,31.78,0.2562,0.3778,True
JRN_00000117,CUST_PREMIUM_001016,dispute_status,Green,1780455784.168233,1780461233.168233,3,3,2,0.5475,0.4522,False,abandoned,True,True,evt_web_000000196,102.41,0.6085,0.5576,True
JRN_00000118,CUST_PREMIUM_001016,routine_account_review,Green,1776742065.168233,1776742065.168233,1,1,0,0.296,0.296,True,resolved,False,False,evt_web_000000198,,0.0345,0.0609,True
JRN_00000119,CUST_PREMIUM_001016,routine_account_review,Green,1784213748.168233,1784213748.168233,1,1,0,0.0333,0.0333,True,resolved,False,False,evt_app_000000199,,0.02,0.045,True
JRN_00000120,CUST_PREMIUM_001016,suspected_fraud,Green,1781232573.168233,1781232956.168233,2,2,1,0.5632,0.4501,False,pending,False,True,evt_call_center_000000200,42.98,0.7433,0.5062,True
JRN_00000121,CUST_PREMIUM_001016,travel_booking,Green,1779254886.168233,1779254886.168233,1,1,0,0.5266,0.5266,True,resolved,True,False,evt_app_000000202,725.48,0.4518,0.3051,True
JRN_00000122,CUST_PREMIUM_001017,replacement_card,Gold,1784926758.168233,1784926758.168233,1,1,0,0.6729,0.6729,True,resolved,True,False,evt_call_center_000000203,,0.5349,0.3532,False
JRN_00000123,CUST_PREMIUM_001017,login_problem,Gold,1781240965.168233,1781241457.168233,2,2,1,0.5334,0.4375,True,resolved,True,True,evt_call_center_000000205,,0.4581,0.2738,False
JRN_00000124,CUST_PREMIUM_001017,travel_booking,Gold,1784354688.168233,1784354688.168233,1,1,0,0.4035,0.4035,True,resolved,False,False,evt_in_person_000000206,2180.37,0.3638,0.3358,False
JRN_00000125,CUST_PREMIUM_001017,suspected_fraud,Gold,1778303988.168233,1778304712.168233,2,2,1,0.844,0.8071,True,resolved,True,True,evt_call_center_000000207,288.0,0.99,0.4811,False
JRN_00000126,CUST_PREMIUM_001017,payment_failure,Gold,1775095144.168233,1775095553.168233,2,2,1,0.5277,0.4724,True,resolved,True,True,evt_web_000000210,200.62,0.6709,0.4341,False
JRN_00000127,CUST_PREMIUM_001017,benefit_claim,Gold,1783143068.168233,1783143068.168233,1,1,0,0.5185,0.5185,True,resolved,False,False,evt_call_center_000000211,66.38,0.3901,0.3953,False
JRN_00000128,CUST_PREMIUM_001017,login_problem,Gold,1775334956.168233,1775334956.168233,1,1,0,0.4735,0.4735,True,resolved,False,True,evt_app_000000212,,0.3949,0.3336,False
JRN_00000129,CUST_PREMIUM_001018,lounge_access,Gold,1782240728.168233,1782240728.168233,1,1,0,0.0692,0.0692,True,resolved,False,False,evt_in_person_000000213,,0.2307,0.1664,False
JRN_00000130,CUST_PREMIUM_001019,suspected_fraud,Platinum,1782981380.168233,1782983583.168233,2,2,1,0.6817,0.5554,True,resolved,True,False,evt_app_000000215,225.73,0.8728,0.5594,False
JRN_00000131,CUST_PREMIUM_001019,dispute_status,Platinum,1775184462.168233,1775184462.168233,1,1,0,0.4138,0.4138,True,resolved,False,False,evt_call_center_000000216,267.85,0.5164,0.592,False
JRN_00000132,CUST_PREMIUM_001019,lounge_access,Platinum,1775870468.168233,1775870468.168233,1,1,0,0.0258,0.0258,True,resolved,False,False,evt_in_person_000000217,,0.2031,0.1966,False
JRN_00000133,CUST_PREMIUM_001019,suspected_fraud,Platinum,1779405740.168233,1779451233.168233,2,2,1,0.8607,0.8517,True,resolved,True,False,evt_in_person_000000219,95.21,0.9706,0.5365,False
JRN_00000134,CUST_PREMIUM_001019,travel_booking,Platinum,1778919688.168233,1778919688.168233,1,1,0,0.4471,0.4471,False,abandoned,True,True,evt_web_000000220,8026.7,0.5036,0.3151,False
JRN_00000135,CUST_PREMIUM_001020,dispute_status,Gold,1781014369.168233,1781014369.168233,1,1,0,0.4031,0.4031,True,resolved,True,False,evt_call_center_000000221,147.04,0.6536,0.5797,True
JRN_00000136,CUST_PREMIUM_001020,payment_failure,Gold,1780821183.168233,1780822615.168233,2,2,1,0.6298,0.592,True,resolved,True,True,evt_call_center_000000223,92.83,0.8539,0.4205,True
JRN_00000137,CUST_PREMIUM_001020,travel_booking,Gold,1780910365.168233,1780910365.168233,1,1,0,0.5877,0.5877,True,resolved,True,False,evt_call_center_000000224,1354.33,0.6874,0.3655,True
JRN_00000138,CUST_PREMIUM_001020,card_declined,Gold,1780840106.168233,1780840106.168233,1,1,0,0.564,0.564,True,resolved,False,True,evt_call_center_000000225,47.39,0.7429,0.3611,True
JRN_00000139,CUST_PREMIUM_001020,routine_account_review,Gold,1775626736.168233,1775626736.168233,1,1,0,0.1707,0.1707,True,resolved,False,False,evt_app_000000226,,0.2014,0.0364,True
